,ID,Catchment Name,Area (m2),Length,Slope (Gradient),Order,Proportional coefficient (K),Exponential Coefficient (P),River System,Source_river,Target_river,f1,fsa,rsa,slope,K
24,25,0505_3,685000,1795,0.05282,185,9.026,1,Rangitaki,185,184,0.4,0.75,104,0.05282,9.026
23,24,0505_2,456000,1158,0.07351,186,7.483,1,Rangitaki,186,185,0.4,0.75,118,0.07351,7.483
22,23,0505_1,1061000,2062,0.05576,186,9.743,1,Rangitaki,186,185,0.4,0.75,116,0.05576,9.743
21,22,0490_1,7715000,7936,0.04229,187,60.129,1,Rangitaki,187,186,0.15,0.25,125,0.04229,60.129
20,21,0488_1,464000,1445,0.12215,193,6.953,1,Rangitaki,193,191,0.4,0.75,121,0.12215,6.953
19,20,0481_1,8471000,7980,0.02049,197,75.608,1,Rangitaki,197,193,0.15,0.25,131,0.02049,75.608
18,19,0479_2,1635000,1998,0.04799,207,8.162,1,Rangitaki,207,197,0.4,0.75,110,0.04799,8.162
17,18,0479_1,529000,1711,0.02208,209,13.027,1,Rangitaki,209,207,0.4,0.75,126,0.02208,13.027
16,17,0472_2,26702000,9152,0.01377,212,80.828,1,Rangitaki,212,209,0.15,0.25,123,0.01377,80.828
15,16,0472_1,4525000,3115,0.0266,212,12.72,1,Rangitaki,212,209,0.4,0.75,121,0.0266,12.72
14,15,0234_2,32619000,17969,0.02212,170,97.362,1,Rangitaki,170,167,0.15,0.25,132,0.02212,97.362
13,14,0234_1,6215000,5177,0.07382,170,12.823,0.693,Rangitaki,170,167,0.4,0.95,85.4,0.07382,12.823
12,13,0224_1,452000,1134,0.25597,176,4.698,1,Rangitaki,176,173,0.4,0.75,94,0.25597,4.698
11,12,0222_2,408000,1586,0.21564,173,5.76,1,Rangitaki,173,170,0.4,0.75,93,0.21564,5.76
10,11,0222_1,1447000,2353,0.03193,173,9.47,1,Rangitaki,173,170,0.4,0.75,100,0.03193,9.47
9,10,0220_1,478000,1683,0.18133,170,6.035,1,Rangitaki,170,167,0.4,0.75,96,0.18133,6.035
8,9,0174_2,9282000,6756,0.05137,179,16.054,1,Rangitaki,179,178,0.4,0.75,128,0.05137,16.054
7,8,0174_1,9610000,6424,0.04412,179,51.066,1,Rangitaki,179,178,0.15,0.25,111,0.04412,51.066
6,7,0072_1,510000,1277,0.20521,179,5.261,1,Rangitaki,179,178,0.4,0.75,109,0.20521,5.261
5,6,0065_1,1089000,1621,0.19487,179,5.953,1,Rangitaki,179,178,0.4,0.75,116,0.19487,5.953
4,5,0063_1,439000,1397,0.22997,179,5.361,1,Rangitaki,179,178,0.4,0.75,111,0.22997,5.361
3,4,0041_2,998000,1795,0.07938,176,7.424,1,Rangitaki,176,173,0.4,0.75,90,0.07938,7.424
2,3,0041_1,3280000,4121,0.04064,176,48.301,1,Rangitaki,176,173,0.15,0.25,131,0.04064,48.301
1,2,0021_2,5503000,6958,0.01948,129,19.374,1,Rangitaki,129,117,0.4,0.75,115,0.01948,19.374
0,1,0021_1,25297000,15617,0.01746,117,100.333,1,Rangitaki,117,115,0.15,0.25,134,0.01746,100.333
